name	state_id	postcode	latitude	longitude	variant_name	status
MUDGEERABA	QLD		-2.8093334200000001e+01	1.5335362240000001e+02		O
MOLENDINAR	QLD		-2.7973611829999999e+01	1.5336138919999999e+02		O
MIAMI	QLD		-2.8067501069999999e+01	1.5343666080000000e+02		O
MERRIMAC	QLD		-2.8051111219999999e+01	1.5337445070000001e+02		O
MERMAID WATERS	QLD		-2.8049720760000000e+01	1.5342306520000000e+02		O
MERMAID BEACH	QLD		-2.8048332210000002e+01	1.5343695070000001e+02		O
LABRADOR	QLD		-2.7945833210000000e+01	1.5340083310000000e+02		O
JACOBS WELL	QLD		-2.7786109920000001e+01	1.5336138919999999e+02		O
HOPE ISLAND	QLD		-2.7866945269999999e+01	1.5336195369999999e+02		O
HOLLYWELL	QLD		-2.7895555500000000e+01	1.5339944460000001e+02		O
HIGHLAND PARK	QLD		-2.8014444350000002e+01	1.5333444209999999e+02		O
HELENSVALE	QLD		-2.7900833129999999e+01	1.5333776860000000e+02		O
ELANORA	QLD		-2.8132778170000002e+01	1.5344972229999999e+02		O
CURRUMBIN WATERS	QLD		-2.8157499309999999e+01	1.5346859739999999e+02		O
CURRUMBIN	QLD		-2.8136388780000001e+01	1.5348277279999999e+02		O
COOMERA	QLD		-2.7845834730000000e+01	1.5334054570000001e+02		O
COOMBABAH	QLD		-2.7909721380000001e+01	1.5337110899999999e+02		O
COOLANGATTA	QLD		-2.8170833590000001e+01	1.5353361509999999e+02		O
CLEAR ISLAND WATERS	QLD		-2.8041944500000000e+01	1.5339833070000000e+02		O
CARRARA	QLD		-2.8020833970000002e+01	1.5336944579999999e+02		O
BURLEIGH WATERS	QLD		-2.8087501530000001e+01	1.5343556210000000e+02		O
BURLEIGH HEADS	QLD		-2.8103889469999999e+01	1.5343556210000000e+02		O
BUNDALL	QLD		-2.8011667249999999e+01	1.5340527340000000e+02		O
BROADBEACH WATERS	QLD		-2.8026388170000001e+01	1.5341722110000001e+02		O
BROADBEACH	QLD		-2.8027221680000000e+01	1.5343194579999999e+02		O
BILINGA	QLD		-2.8161388400000000e+01	1.5350860599999999e+02		O
BIGGERA WATERS	QLD		-2.7930831909999998e+01	1.5339610289999999e+02		O
BENOWA	QLD		-2.8008333210000000e+01	1.5338722229999999e+02		O
ASHMORE	QLD		-2.7989166260000001e+01	1.5337861630000000e+02		O
ARUNDEL	QLD		-2.7938610080000000e+01	1.5336389159999999e+02		O
YORKEYS KNOB	QLD		-1.6823612210000000e+01	1.4571611020000000e+02		O
WOREE	QLD		-1.6962778090000000e+01	1.4574305730000000e+02		O
WHITFIELD	QLD		-1.6901666639999998e+01	1.4572804260000001e+02		O
WHITE ROCK (CAIRNS REGIONAL COUNCIL)	QLD		-1.6979444500000000e+01	1.4575694270000000e+02		O
WESTCOURT	QLD		-1.6935276030000001e+01	1.4572027589999999e+02		O
TRINITY PARK	QLD		-1.6804998399999999e+01	1.4570416259999999e+02		O
TRINITY BEACH	QLD		-1.6793333050000001e+01	1.4569667050000001e+02		O
STRATFORD	QLD		-1.6876945500000001e+01	1.4573165890000001e+02		O
SMITHFIELD	QLD		-1.6825000760000002e+01	1.4569000240000000e+02		O
