region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly_,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
UCL322095,30,1800,673,360,1853,1.0,1760,3.2
UCL322096,58,1913,353,205,808,1.1,680,2.0
UCL322097,51,368,350,60,685,1.1,515,2.2
UCL322098,18,0,280,60,609,1.4,719,4.1
UCL322099,46,2800,724,300,1856,1.1,1583,2.4
UCL322100,44,1975,661,325,1514,1.1,1053,2.2
UCL322101,36,1322,545,200,2041,1.1,1125,2.4
UCL322102,31,0,500,48,1156,1.3,833,2.8
UCL322103,43,1441,433,300,1023,1.1,949,2.4
UCL322104,42,1083,490,200,1011,1.1,900,2.5
UCL322105,42,1473,500,170,1171,1.1,1021,2.6
UCL322106,43,1192,439,300,987,1.1,807,2.5
UCL322107,24,0,344,35,956,1.3,791,3.3
UCL322108,45,1000,536,100,918,1.0,749,2.1
UCL322109,41,867,514,90,1158,1.1,929,2.2
UCL322110,36,2284,697,500,1776,1.1,1783,3.6
UCL322111,51,953,381,250,1036,1.2,855,2.3
UCL322112,55,500,447,185,1083,1.1,749,1.9
UCL322113,32,1213,496,180,1162,1.1,1109,2.7
UCL322114,31,818,734,115,1325,1.1,1416,2.6
UCL322115,37,1733,576,175,1750,1.1,1538,2.9
UCL322116,44,1378,515,166,840,1.1,811,2.2
UCL322117,50,1200,382,178,814,1.1,693,2.2
UCL322118,56,1560,455,225,1192,1.2,815,1.9
UCL322119,48,1733,589,320,1295,1.0,1260,2.6
UCL322120,45,1000,333,180,607,1.1,596,2.7
UCL322121,55,1733,396,180,1399,1.1,1062,2.5
UCL322122,55,1595,430,205,909,1.1,757,2.1
UCL322123,25,0,294,55,614,1.5,586,3.7
UCL322124,48,1517,514,240,1087,1.2,1069,2.2
UCL322125,41,1950,428,160,1042,1.1,958,2.9
UCL322126,39,1200,509,140,1416,1.0,843,2.2
UCL322127,42,914,577,95,1083,1.0,969,2.1
UCL322128,21,0,288,75,657,1.3,729,4.3
UCL322129,41,2000,432,360,1097,1.2,1343,3.3
UCL322130,24,0,258,65,614,1.4,933,3.7
UCL322131,42,1733,587,250,2200,1.1,2150,3.2
UCL322132,48,780,437,185,1156,1.1,739,2.6
UCL322133,47,550,306,160,739,1.1,529,2.3
UCL322134,25,0,302,75,824,1.2,933,3.3
UCL322135,36,813,387,75,1125,1.1,1014,2.6
UCL322136,31,433,474,88,675,1.5,1025,2.6
UCL322137,38,888,422,150,866,1.3,700,2.7
UCL322138,42,1300,407,0,959,1.1,700,2.2
UCL322139,43,975,607,125,949,1.1,956,2.2
UCL322140,58,0,391,0,1350,1.2,620,1.9
UCL322141,64,420,326,100,650,1.1,509,2.0
UCL331777,42,1600,518,168,1281,1.1,1102,2.7
UCL379997,46,0,666,0,0,0,0,0
UCL399994,44,0,379,0,0,0,0,0
UCL401001,38,1528,550,250,1389,1.1,1090,2.4
UCL412001,39,1500,541,225,1372,1.1,1062,2.5
UCL412002,37,1257,504,160,1172,1.1,897,2.3
UCL412003,56,1200,400,215,885,1.0,738,2.1
UCL412004,38,1300,471,150,1276,1.1,932,2.3
UCL413001,42,1800,747,300,2048,1.1,1732,2.7
UCL413002,36,1690,584,271,1444,1.0,1169,2.6
UCL413003,39,1200,448,180,985,1.1,801,2.4
UCL413004,38,1203,537,150,1226,1.1,974,2.4
UCL413005,38,1300,523,180,1205,1.1,923,2.4
UCL413006,40,1000,394,150,977,1.1,740,2.3
UCL414001,40,1400,528,225,1248,1.0,965,2.3
UCL414002,42,1500,506,248,1156,1.1,951,2.4
UCL415001,44,1200,558,180,1301,1.1,1010,2.3
UCL415002,35,1733,655,255,1689,1.0,1580,3.3
UCL415003,45,1040,443,160,1036,1.0,809,2.2
UCL415004,42,1625,589,270,1545,1.1,1238,2.5
UCL415005,49,1083,374,136,809,1.1,577,2.1
UCL415006,39,1083,453,150,910,1.1,748,2.2
UCL415007,38,1083,547,166,1165,1.1,913,2.3
UCL415008,38,1213,623,150,1391,1.1,1019,2.3
UCL415009,41,1299,523,195,1232,1.1,962,2.3
UCL415010,45,650,441,100,1004,1.1,727,2.0
UCL415011,49,953,420,150,1016,1.1,758,2.2
UCL415012,35,1218,539,240,1375,1.0,1193,2.7
UCL415013,47,1950,552,250,1600,1.1,1225,2.4
UCL415014,48,1083,508,150,1174,1.0,864,2.1
UCL415015,42,1127,434,180,1056,1.1,796,2.3
UCL415016,44,1100,459,180,1088,1.1,863,2.3
UCL415017,48,1116,478,165,996,1.1,793,2.1
UCL415018,50,1062,451,140,922,1.0,760,2.1
UCL415019,40,1560,563,220,1402,1.0,1329,2.9
UCL415020,40,1514,532,230,1268,1.1,1048,2.5
UCL415021,44,1109,467,140,1089,1.1,804,2.2
UCL415022,39,1406,570,250,1403,1.1,1252,2.7
UCL415023,49,1053,406,150,911,1.1,727,2.2
UCL415024,52,953,409,170,870,1.1,691,2.0
UCL415025,33,1829,688,285,1741,1.0,1574,3.0
UCL415026,48,1517,500,270,1264,1.0,954,2.3
UCL415027,42,975,419,130,1026,1.1,775,2.3
UCL415028,53,1127,386,200,860,1.0,697,2.1
UCL415029,36,1475,489,250,1108,1.1,1072,2.8
UCL415030,34,1625,638,260,1498,1.1,1309,2.7
UCL415031,38,1127,565,170,1198,1.1,955,2.3
UCL415032,57,1100,414,210,871,1.0,739,2.1
UCL415033,41,1224,585,150,1294,1.1,972,2.3
UCL415034,50,520,353,125,720,1.1,542,2.0
UCL415035,44,1000,462,145,1125,1.1,875,2.3
UCL415036,40,1007,414,150,924,1.1,728,2.2
UCL415037,45,1404,535,170,1193,1.0,836,2.2
UCL415038,29,2323,1464,200,2844,1.1,2755,2.9
UCL415039,46,1116,445,180,1079,1.0,742,2.2
UCL415040,46,880,393,160,931,1.1,727,2.3
UCL415041,43,1300,576,225,1490,1.0,1120,2.3
UCL415042,54,1300,437,160,991,1.1,698,2.1
UCL415043,38,1451,539,250,1343,1.1,1130,2.7
UCL415044,47,997,391,147,914,1.1,666,2.1
UCL415045,52,1083,385,189,831,1.0,707,2.1
UCL415046,36,1517,548,210,1451,1.1,1306,2.8
UCL415047,42,1430,532,250,1402,1.0,1116,2.7
UCL415048,39,1517,558,265,1305,1.0,1086,2.5
UCL421001,42,1000,458,180,1312,1.1,878,2.1
UCL421002,58,1154,398,142,866,1.1,691,1.9
UCL421003,39,1517,548,250,1298,1.1,1162,2.5
UCL421004,49,676,451,130,1083,1.1,763,2.0
UCL421005,52,802,525,96,1280,1.1,945,2.1
UCL421006,40,1452,683,250,1815,1.1,1587,3.2
UCL421007,53,977,457,165,946,1.1,840,2.1
UCL421008,44,1083,446,200,1072,1.1,890,2.3
UCL421009,41,1096,535,120,1255,1.0,971,2.3
UCL421010,35,1517,610,254,1536,1.1,1257,2.7
UCL421011,52,975,382,180,774,1.1,651,2.1
UCL421012,48,650,351,130,728,1.1,592,2.2
UCL421013,39,1300,612,210,1447,1.1,1290,2.8
UCL421014,45,1387,487,243,1444,1.0,1080,2.5
UCL421015,41,1089,413,175,943,1.1,854,2.3
UCL421016,41,1684,657,310,1702,1.1,1591,3.1
UCL421017,33,1600,675,275,1325,1.1,1333,2.8
UCL421018,41,953,534,135,1178,1.0,888,2.2
UCL421019,52,607,493,110,1234,1.1,805,2.1
UCL421020,48,884,488,120,1111,1.0,905,2.1
UCL421021,37,0,1142,35,2560,1.1,2283,2.3
UCL421022,40,1387,543,265,1286,1.1,1088,2.7
UCL421023,40,1100,501,175,1426,1.1,1031,2.6
UCL421024,36,1300,622,260,1375,1.1,1209,2.6
UCL421025,48,1083,410,140,895,1.1,712,2.1
UCL421026,50,1213,368,195,788,1.1,683,2.1
UCL421027,55,900,394,110,906,1.1,696,2.1
UCL421028,41,1380,455,200,1110,1.1,890,2.4
UCL421029,40,758,355,125,810,1.1,636,2.2
UCL421030,40,1300,651,250,1897,1.0,1769,3.2
UCL421031,48,750,392,120,1086,1.1,762,2.2
UCL421032,42,1083,547,160,1218,1.0,888,2.3
UCL421033,47,650,467,105,1156,1.1,768,2.0
UCL421034,61,1081,386,175,826,1.0,645,1.9
UCL421035,50,870,408,135,831,1.1,745,2.1
UCL421036,42,1012,484,175,949,1.1,749,2.2
UCL421037,25,0,321,40,930,1.7,1708,4.4
UCL421038,49,899,416,150,840,1.0,702,2.1
UCL421039,33,1559,607,300,1606,1.0,1434,3.2
UCL421040,58,1083,392,160,850,1.0,671,2.0
UCL421041,45,1733,614,188,1898,1.0,1652,2.7
UCL421042,30,2167,615,200,1550,1.1,1474,3.1
UCL421043,41,758,551,110,1381,1.0,993,2.2
UCL421044,51,1083,389,195,771,1.1,627,2.0
UCL421045,50,758,395,150,818,1.0,685,2.1
UCL422001,47,1192,458,250,1059,1.1,789,2.1
UCL422002,33,1384,526,220,1437,1.1,1107,2.8
UCL422003,25,0,236,20,526,2.0,1135,4.6
UCL422004,58,400,381,150,866,1.0,661,2.1
UCL422005,48,734,465,180,870,1.1,809,2.0
UCL422006,47,1083,526,200,1273,1.0,858,2.0
UCL422007,54,1312,531,160,1062,1.0,861,2.2
UCL422008,56,1142,363,150,714,1.1,547,1.9
UCL422009,37,1127,522,180,949,1.1,761,2.6
UCL422010,58,975,387,112,918,1.0,766,2.0
UCL422011,43,1950,603,320,1410,1.0,1258,2.8
UCL422012,48,867,374,200,814,1.0,661,2.0
UCL422013,32,1170,566,220,1300,1.1,1022,2.5
UCL422014,61,1042,428,190,982,1.0,726,1.9
UCL422015,36,1257,686,200,1886,1.1,1700,3.1
UCL422016,45,1777,556,170,2023,1.0,1125,2.3
UCL422017,60,813,386,165,723,1.0,620,1.8
UCL422018,41,650,381,130,1125,1.1,1017,2.4
UCL422019,56,450,402,140,820,1.1,664,1.8
UCL422020,46,433,390,100,1025,1.1,733,2.1
UCL422021,59,715,375,90,747,1.1,623,1.9
UCL422022,44,989,572,143,981,1.2,808,2.2
UCL422023,49,867,527,90,1062,1.1,724,1.9
UCL422024,26,0,279,20,706,1.8,1559,4.6
UCL422025,41,758,403,130,771,1.0,675,2.4
UCL422026,52,663,410,125,924,1.0,713,2.1
UCL422027,36,1652,621,0,1652,1.0,1568,2.8
UCL422028,47,886,396,120,1100,1.1,686,2.1
UCL422029,49,780,483,120,1202,1.1,911,2.4
UCL422030,24,0,307,40,738,1.6,1031,3.7
UCL422031,55,693,357,125,783,1.0,634,1.9
UCL422032,41,607,335,100,757,1.1,669,2.5
UCL422033,43,1656,577,80,1932,1.1,1421,2.7
UCL422034,40,1700,617,200,1562,1.1,1281,2.8
UCL422035,42,958,433,180,1125,1.1,1007,2.9
UCL422036,39,1170,442,300,945,1.0,890,2.3
UCL422037,37,867,406,200,1262,1.0,1016,2.6
